,mass,eps,ctau,BRbrUL,BRbrULobs,BRbrULup,BRbrULupup,BRbrULdown,BRbrULdowndown
656,1.18,3.274241405534842e-06,2.0,9.918559515082762e-05,0.0001229292749033,0.0001734951741079,0.0002945844022941,5.95184341932544e-05,3.8747137599056817e-05
657,1.18,2.070812090144229e-06,5.0,0.0001635592233314,0.0002072690157734,0.0002874463623203,0.0004957408277698,9.906271141429662e-05,6.64405935946652e-05
658,1.18,1.637120702767421e-06,8.0,0.0002303693625358,0.0002942112893821,0.000404812940761,0.0006981589028214,0.0001395420429161,9.358354738517513e-05
659,1.18,1.4642852715040728e-06,10.0,0.0002834444725811,0.0003633363360336,0.000500338398751,0.0008590325806095,0.0001724228693653,0.0001162489028752
660,1.18,1.0354060450721146e-06,20.0,0.0005340937885566,0.0006819440979433,0.0009471001373057,0.0016187899835896,0.0003234816409994,0.0002169392390066
661,1.18,6.548482811069685e-07,50.0,0.0012803657345674,0.001637921668656,0.0022703049089461,0.003880533519962,0.0007759314314756,0.0005251164600635
662,1.18,5.177030225360573e-07,80.0,0.002029631833694,0.0025950391959893,0.0035988803753372,0.0061514098286086,0.0012252808195195,0.0008324130011974
663,1.18,4.630476602190919e-07,100.0,0.0025452042527142,0.0032619093718064,0.0045539193737289,0.0077142839680237,0.0015481246455439,0.0010438664500511
664,1.18,3.2742414055348424e-07,200.0,0.0044466367471334,0.0058235419246852,0.0080976876998106,0.0134786964396682,0.0026491119950068,0.0017713501621024
665,1.18,2.0708120901442292e-07,500.0,0.0110136709956364,0.0144666220729912,0.0201447409210031,0.0333850954691568,0.0065618196724622,0.0043881884850492
666,1.18,1.6371207027674212e-07,800.0,0.0176018181632412,0.0231081397549075,0.0321949027510977,0.0533553599016499,0.0104869626794207,0.0070131108701601
667,1.18,1.4642852715040727e-07,1000.0,0.0219924491389917,0.0288662245304932,0.0402256604813102,0.0666644222799742,0.0131028505811581,0.0087624745743711
668,1.18,1.0354060450721146e-07,2000.0,0.1203577263404986,0.1768947063090095,0.2422163843271258,0.3650209124454642,0.0660919674666954,0.0423149446348171
669,1.18,6.548482811069685e-08,5000.0,0.2998008130209115,0.4413632298609974,0.6033403185336133,0.9092359057298204,0.1646294441007537,0.1054029117213755
670,1.18,5.177030225360573e-08,8000.0,0.4798782784179465,0.7049899708209639,0.9657415353645488,1.4553847787503025,0.2635190546151064,0.1687043947663992
671,1.18,4.630476602190919e-08,10000.0,0.5985753384864255,0.8802941704316026,1.2046160295627513,1.81537168016954,0.328700035838007,0.2104331342822214
672,1.19,1.4642852715040728e-05,0.1,0.0002716833889022,0.0002594161442506,0.0005251262669662,0.0008238296653299,0.000141835005155,8.065913803619367e-05
673,1.19,1.0354060450721146e-05,0.2,0.0001557866542252,0.0001462040440275,0.0003011044452865,0.0004723728310161,8.134140505948226e-05,4.6251326676654885e-05
674,1.19,6.548482811069684e-06,0.5,0.0001066075229688,9.905488229942652e-05,0.0001958510309407,0.000323187140918,5.795063541650535e-05,3.3316321457479326e-05
